Unmatched Hosts Log
Generated  : 2026-02-24 21:43:01
Excel file : /home/dz8tcy/project/hpcautomation/src/inventory/management/commands/HPC_Not Retired_2-17-26.xlsx
Dry run    : False
==========================================================================================
   Row  Asset Tag (B)         Hostname BF                Hostname K                 Hostname AS
------------------------------------------------------------------------------------------
     2  MT2050X07311          MT2050X07311 - SwitchX-2 Series  MT2050X07311 - SwitchX-2 Series  -
     3  4VD2NH3               4VD2NH3 - PowerEdge Enclosure - C6400  4VD2NH3 - PowerEdge Enclosure - C6400  -
     8  4VD1NH3               4VD1NH3 - PowerEdge Enclosure - C6400  4VD1NH3 - PowerEdge Enclosure - C6400  -
    13  4VDXMH3               4VDXMH3 - PowerEdge Enclosure - C6400  4VDXMH3 - PowerEdge Enclosure - C6400  -
    18  4VDZMH3               4VDZMH3 - PowerEdge Enclosure - C6400  4VDZMH3 - PowerEdge Enclosure - C6400  -
    23  4VCZMH3               4VCZMH3 - PowerEdge Enclosure - C6400  4VCZMH3 - PowerEdge Enclosure - C6400  -
    28  MT2106X08598          MT2106X08598 - Quantum     MT2106X08598 - Quantum     -
    29  1825VH3               1825VH3 - PowerEdge Enclosure - C6400  1825VH3 - PowerEdge Enclosure - C6400  -
    34  G2T7VH3               G2T7VH3 - PowerEdge Enclosure - C6400  G2T7VH3 - PowerEdge Enclosure - C6400  -
    39  10ZB2G3               10ZB2G3 - PowerEdge Enclosure - C6400  10ZB2G3 - PowerEdge Enclosure - C6400  -
    44  FH97TH3               FH97TH3 - PowerEdge Enclosure - C6400  FH97TH3 - PowerEdge Enclosure - C6400  -
    49  85SX1G3               85SX1G3 - PowerEdge Enclosure - C6400  85SX1G3 - PowerEdge Enclosure - C6400  -
    54  7DTGNF3               7DTGNF3 - PowerEdge Server  7DTGNF3 - PowerEdge Server  -
    55  7DTHNF3               7DTHNF3 - PowerEdge Server  7DTHNF3 - PowerEdge Server  -
    56  85S22G3               85S22G3 - PowerEdge Enclosure - C6400  85S22G3 - PowerEdge Enclosure - C6400  -
